,Data Product Name/ID,Themes,Description,Data Product Level,Science Team,Data Status
can't replicate,Canopy Lignin NEON.DP3.30022,"BiogeochemistryLand Use, Land Cover, and Land Processes",Normalized index of canopy lignin concentration. Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m.,Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Canopy Nitrogen NEON.DP3.30018,"BiogeochemistryLand Use, Land Cover, and Land Processes",Measure of canopy nitrogen concentration in remotely sensed data. Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m.,Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Canopy Xanthophyll Cycle NEON.DP3.30020,"BiogeochemistryLand Use, Land Cover, and Land Processes",Normalized index of  xanthophyll concentration. Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m.,Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,LAI - Spectrometer NEON.DP3.30012,"BiogeochemistryLand Use, Land Cover, and Land Processes","The ratio of upper leaf surface area to ground area (for broadleaf canopies), or projected conifer needle surface area to ground area (for coniferous plants) for a given unit area; Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m.",Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Total Biomass Map - Spectrometer NEON.DP2.30016,"BiogeochemistryLand Use, Land Cover, and Land Processes",Mass of all above ground organic matter per unit area at particular time; estimate of  biomass derived from correlation with NDVI and LAI parameters; data are provided by flightline data are provided by flightline at equivalent resolution to spectrometer orthorectified surface directional reflectance,Level 2,Airborne Observation Platform (AOP),Not yet available
can't replicate,Total Biomass Map - Spectrometer NEON.DP3.30016,"BiogeochemistryLand Use, Land Cover, and Land Processes",Mass of all above ground organic matter per unit area at particular time; estimate of biomass derived from correlation with NDVI and LAI parameters; mosaiced from the total biomass level 2 product onto a spatially uniform grid at 1 m spatial resolution and provided as 1 km by 1 km tiles.,Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Vegetation Indices - Spectrometer NEON.DP3.30026,"BiogeochemistryLand Use, Land Cover, and Land Processes","NDVI - Normalized ratio of NIR and IR bands; characterizes the ""red edge"" in vegetation spectra. SAVI - Normalized ratio of 850 nm and 650 nm bands with gain and offset factors to minimize soil contribution in result; primary input to LAI product. EVI - Normalized ratio of NIR and IR bans (red edge characterization); includes Blue channel for better aerosol characterization.  Level 2 products derived from individual flight lines over a given site are mosaiced into single product; spatial resolution is 1m.",Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Canopy Water Content NEON.DP3.30019,"EcohydrologyLand Use, Land Cover, and Land Processes",Normalized index of canopy water content. Level 2 products derived from individual flight lines over a given site are mosaicked into single product; spatial resolution is 1m.,Level 3,Airborne Observation Platform (AOP),Not yet available
can't replicate,Ecosystem Structure NEON.DP3.30015,"Land Use, Land Cover, and Land Processes",Height of the top of canopy above bare earth;  data are mosaiced over AOP footprint; mosaiced onto a spatially uniform grid at 1 m spatial resolution in 1 km by 1 km tiles.,Level 3,Airborne Observation Platform (AOP),Available on request
can't replicate,Elevation - LiDAR NEON.DP3.30024,"Land Use, Land Cover, and Land Processes",Bare earth elevation given in meters above mean sea level (topographic information with vegetation and man-made structures removed) and mosaiced onto a spatially uniform grid at 1 m spatial resolution in 1 km by 1 km tiles. Surface features given in meters above mean sea level (topographic information with vegetation and man-made structures removed) and mosaiced onto a spatially uniform grid at 1 m spatial resolution in 1 km by 1 km tiles.,Level 3,Airborne Observation Platform (AOP),Available on request
