Fist Name,Last Name,Institution,Type of Conclift
Lisa,Becking,Institute for Marine Resources and Ecosystem Studies ,Co-author
Gordon,Bennett,U of Hawaii ,Co-author
Michael,Brewer,UC Berkeley,Co-author
Scott,Collins,U New Mexico ,Co-author
Darko,Cotoras,UC Santa Cruz,Co-author
Gretchen,Daily,Stanford University,Co-author
Rodolfo,Dirzo,Stanford University,Undergraduate advisor
Paul,Ehrlich,Stanford University,Co-author
Douglas,Erwin,Smithsonian,Undergraduate advisor
Curtis,Ewing,U Hawaii,Co-author
Miguel,Fuentes,Consejo Nacional de Investigaciones Cientificas y Tecnicas,
Rosemary,Gillespie,UC Berkeley,PhD advisor
Kari,Goodman,UC Berkeley,Co-author
Daniel,Gruner,U Maryland,Co-author
Elizabeth,Hadly,Stanford University,Undergraduate advisor
John,Harte,UC Berkeley,PhD advisor
Steven,Kembel,U Quebec a Montreal,Co-author
Pablo,Marquet,Pontificia Universidad Catolica de Chile,
Neo,Martinez,U Arizona,Co-author
Brian,Mauer,Michigan State University,Co-author
Brian,McGill,U Maine,Collaborator
Cory,Merow,U Connecticut,Co-author
Thomas,Miller,Rice University,Co-author
James,O'Dwyer,U Illinois Urbana-Champaign,Collaborator
Patrick,O'Grady,UC Berkeley,Co-author
Diana,Percy,Natural History Museum,Co-author
Donald,Price,U Hawaii,Co-author
George,Roderick,UC Berkeley,Co-author
Kerry,Shaw,Cornell University,Co-author
Fernanda,Valdovinos,U Arizona,Co-author
Peter,Wagner,Smithsonian,Undergraduate advisor
Xiao,Xiao,U Main,Collaborator
